id_cours,nom,enseignant,groupes,duree_total,max_duration,type_cours
1,Industries culturelles et créatives numériques Gagnebien,1,"DASI,ACNCC,CDE,DEDI,CINPM",11.5,2.5,CM
2,Industries culturelles et créatives numériques Zenouda,2,"DASI,ACNCC,CDE,DEDI,CINPM",6,3,CM
3,Théories et pratiques scientifiques en SIC,3,"DASI,ACNCC,CDE,DEDI,CINPM",17.5,2.5,CM
4,Humanités et environnements numériques,4,"DASI,ACNCC,CDE,DEDI,CINPM",17.5,2.5,CM
5,Management de projets numériques,5,"DASI,CINPM,CDE",10,2.5,CM
6,Management de projets numériques,5,"DASI,CINPM,CDE",6,3,TD
7,Stratégies de communication,7,"DASI,CINPM,CDE",10,2.5,CM
8,Stratégies de communication,7,"DASI,CINPM,CDE",9,3,TD
9,Littératie et visualisation des données (IA),8,"DASI,CINPM,CDE",10,2.5,CM
10,Littératie et visualisation des données (IA),8,"DASI,CINPM,CDE",6,3,TD
11,Communication environnementale,1,"DASI,CINPM,CDE",10,2.5,CM
12,Médias et numériques,9,"DASI,CINPM,CDE",10,2.5,CM
13,Environnement juridique,10,"DASI,CINPM,CDE",10,2.5,CM
14,Anglais,11,"CDE",18,3,TD
15,Production de contenus vidéos,12,"CDE",14,3,TD
16,Contenus pour réseaux sociaux numériques,13,"CDE",14,3,TD
17,Communication digitale et éditoriale,9,"CDE",7,2.5,CM
18,Communication digitale et éditoriale,14,"CDE",14,3,TD
19,Développement et référencement,8,"CDE",10.5,3,TD
20,Développement et référencement,15,"CDE",14,3,TD
21,Design graphique,14,"CDE",10.5,3,TD
22,Analyse critique des médias,3,"CDE_1",14,3,TD
23,Analyse critique des médias,9,"CDE_2",14,3,TD
24,Communication et storytelling,9,"CDE_1",14,3,TD
